"Type","Date","Num","Memo","Name","Qty","Sales Price","Amount","Balance"
"Parts",,,,,,,,""
"A00403 (BELCA Vinagre Imitación Blanco 4/1 gal.)",,,,,,,,""
"Credit Memo","10/06/2025","CR25-0536","BELCA Vinagre Imitación Blanco 4/1 gal.","Mister Price, Mayagüez",-109,11.31,-1232.79,-1232.79
"Total A00403 (BELCA Vinagre Imitación Blanco 4/1 gal.)",,,,,-109,,-1232.79,-1232.79
"A00602 (GASCÓ Premium White Distilled Vinegar 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10785","GASCÓ Premium White Distilled Vinegar 4/1 gal.","Mays Ochoa Chemical Company",100,13.65,1365.00,1365.00
"Invoice","10/06/2025","INV25-10786","GASCÓ Premium White Distilled Vinegar 4/1 gal.","Mays Ochoa Chemical Company",66,13.65,900.90,2265.90
"Total A00602 (GASCÓ Premium White Distilled Vinegar 4/1 gal.)",,,,,166,,2265.90,2265.90
"A00604 (GASCÓ Vinagre Imitación Blanco 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","GASCÓ Vinagre Imitación Blanco 4/1 gal.","Méndez & Company",0,13.48,0.00,0.00
"Total A00604 (GASCÓ Vinagre Imitación Blanco 4/1 gal.)",,,,,0,,0.00,0.00
"A00605 (GASCÓ Salsa Soya 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10785","GASCÓ Salsa Soya 4/1 gal.","Mays Ochoa Chemical Company",23,23.07,530.61,530.61
"Total A00605 (GASCÓ Salsa Soya 4/1 gal.)",,,,,23,,530.61,530.61
"A00609 (GASCÓ Vainilla Flavor 4/1 gal.)",,,,,,,,""
"Credit Memo","10/06/2025","CR25-0535","GASCÓ Vainilla Flavor 4/1 gal.","Sánchez Food Sales",-46,21.88,-1006.48,-1006.48
"Invoice","10/06/2025","INV25-10784","GASCÓ Vainilla Flavor 4/1 gal.","José Santiago, Inc.",27,26.48,714.96,-291.52
"Total A00609 (GASCÓ Vainilla Flavor 4/1 gal.)",,,,,-19,,-291.52,-291.52
"A00610 (GASCÓ Sazón con Culantro y Achiote 6/32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10798","GASCÓ Sazón con Culantro y Achiote 6/32 oz.","Méndez & Company",0,39.86,0.00,0.00
"Total A00610 (GASCÓ Sazón con Culantro y Achiote 6/32 oz.)",,,,,0,,0.00,0.00
"A00612 (GASCÓ Adobo Criollo Sin Pimienta 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10784","GASCÓ Adobo Criollo Sin Pimienta 4/1 gal.","José Santiago, Inc.",39,24.50,955.50,955.50
"Total A00612 (GASCÓ Adobo Criollo Sin Pimienta 4/1 gal.)",,,,,39,,955.50,955.50
"A00626 (GASCÓ Golden Egg 12/32 oz.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10786","GASCÓ Golden Egg 12/32 oz.","Mays Ochoa Chemical Company",0,30.73,0.00,0.00
"Total A00626 (GASCÓ Golden Egg 12/32 oz.)",,,,,0,,0.00,0.00
"A00653 (GASCÓ Vainilla Imitación Concentrada Negra 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10785","GASCÓ Vainilla Imitación Concentrada Negra 4/1 gal.","Mays Ochoa Chemical Company",10,30.60,306.00,306.00
"Total A00653 (GASCÓ Vainilla Imitación Concentrada Negra 4/1 gal.)",,,,,10,,306.00,306.00
"A00710 (GASCÓ Adobo Con Pimienta 50 lbs. NO MSG)",,,,,,,,""
"Invoice","10/08/2025","INV25-10799","GASCÓ Adobo Con Pimienta 50 lbs. NO MSG","Hector Sullivan, Inc.",15,27.89,418.35,418.35
"Total A00710 (GASCÓ Adobo Con Pimienta 50 lbs. NO MSG)",,,,,15,,418.35,418.35
"A00850 (GOURMET Adobo Criollo Con Pimienta 4/1 gal.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10795","GOURMET Adobo Criollo Con Pimienta 4/1 gal.","Union de Mayoristas Coop",19,24.50,465.50,465.50
"Total A00850 (GOURMET Adobo Criollo Con Pimienta 4/1 gal.)",,,,,19,,465.50,465.50
"A00853 (GOURMET Sazon con Culantro y Achiote 6/32 oz.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10795","GOURMET Sazon con Culantro y Achiote 6/32 oz.","Union de Mayoristas Coop",30,39.86,1195.80,1195.80
"Total A00853 (GOURMET Sazon con Culantro y Achiote 6/32 oz.)",,,,,30,,1195.80,1195.80
"D-SAMPLES (Muestras)",,,,,,,,""
"Invoice","10/07/2025","OUT-14926","ECO CLEAN DISHWASHING LIQUID(VARIACION DE COLOR TRABAJADO)","Prime Lab LLC",1,0.00,0.00,0.00
"Total D-SAMPLES (Muestras)",,,,,1,,0.00,0.00
"D10003 (GASCÓ Antibacterial Hand Soap 4/1 gal.)",,,,,,,,""
"Invoice","10/06/2025","INV25-10777","GASCÓ Antibacterial Hand Soap 4/1 gal.","Colegio Aguadeño San Francisco de Asis",34,17.03,579.02,579.02
"Total D10003 (GASCÓ Antibacterial Hand Soap 4/1 gal.)",,,,,34,,579.02,579.02
"D10041 (GASCÓ Quaternary Ammonia Sanitizer 5 gals.)",,,,,,,,""
"Invoice","10/07/2025","INV25-10797","GASCÓ Quaternary Ammonia Sanitizer 5 gals.","Méndez & Company",0,66.70,0.00,0.00
"Total D10041 (GASCÓ Quaternary Ammonia Sanitizer 5 gals.)",,,,,0,,0.00,0.00
"D10078 (GASCÓ Instant Hand Sanitizer 70% alcohol 4/1 gal.)",,,,,,,,""
